NAME                                                               ID              SIZE      MODIFIED      
deepseek-coder:1.3b-instruct                                       3ddd2d3fc8d2    776 MB    37 hours ago     
functiongemma:270m                                                 7c19b650567a    300 MB    10 days ago      
deepseek-r1:1.5b                                                   e0979632db5a    1.1 GB    10 days ago      
qwen3-embedding:4b                                                 df5bd2e3c74c    2.5 GB    2 weeks ago      
qwen3-embedding:0.6b                                               ac6da0dfba84    639 MB    2 weeks ago      
deepseek-v3.2:cloud                                                55f7c48fb187    -         2 weeks ago      
kimi-k2.5:cloud                                                    6d1c3246c608    -         2 weeks ago      
glm-4.7:cloud                                                      023608864819    -         5 weeks ago      
hf.co/microsoft/bitnet-b1.58-2B-4T-gguf:latest                     ad93d07d5655    1.2 GB    5 weeks ago      
nomic-embed-text:latest                                            0a109f422b47    274 MB    5 weeks ago      
olmo-3:latest                                                      b8d4c92ac9c1    4.5 GB    6 weeks ago      
mxbai-embed-large:latest                                           468836162de7    669 MB    7 weeks ago      
embeddinggemma:latest                                              85462619ee72    621 MB    8 weeks ago      
gemma2:2b                                                          8ccf136fdd52    1.6 GB    8 weeks ago      
qwen3-vl:235b-cloud                                                86b3322ec200    -         2 months ago     
gpt-oss:20b-cloud                                                  875e8e3a629a    -         2 months ago     
gemma3:270m                                                        e7d36fb2c3b3    291 MB    2 months ago     
nemotron-3-nano:30b-cloud                                          01d0d069a149    -         2 months ago     
gemini-3-flash-preview:cloud                                       436200142af2    -         2 months ago     
hf.co/TeichAI/Qwen3-8B-Gemini-3-Pro-Preview-Distill-GGUF:Q4_K_M    f85005b66361    5.0 GB    2 months ago     
qwen3-coder:480b-cloud                                             e30e45586389    -         2 months ago     
gpt-oss:120b-cloud                                                 569662207105    -         2 months ago     
minimax-m2:cloud                                                   698ab6d56142    -         3 months ago     
deepseek-r1:latest                                                 6995872bfe4c    5.2 GB    3 months ago     
llama3.2:latest                                                    a80c4f17acd5    2.0 GB    3 months ago     
deepseek-v3.1:671b-cloud                                           d3749919e45f    -         3 months ago     
glm-4.6:cloud                                                      05277b76269f    -         3 months ago     
phi3:latest                                                        4f2222927938    2.2 GB    4 months ago     
gemma3:4b                                                          a2af6cc3eb7f    3.3 GB    7 months ago     
gemma3n:latest                                                     15cb39fd9394    7.5 GB    7 months ago     
deepseek-r1:8b                                                     6995872bfe4c    5.2 GB    7 months ago     
deepseek-coder:latest                                              3ddd2d3fc8d2    776 MB    12 months ago    
qwen2.5-coder:latest                                               2b0496514337    4.7 GB    14 months ago    
starcoder2:3b                                                      9f4ae0aff61e    1.7 GB    15 months ago    
